medical_abstract,n_tokens,sera_truncado,triage_prediction,urgent_score,nonurgent_score,confidence
"The value of immunohistochemistry for collagen IV expression in colorectal carcinomas. The Dukes' classification has well-established prognostic value in colorectal cancer patients. Yet, in each Dukes' class, the survival of individual patients may vary considerably. Recent studies show prognostic significance of genetic alterations in colorectal carcinoma. However, the importance of tumor stromal components noted in the surrounding tissue may have been overlooked by the methods used. Therefore, in a longitudinal study of 154 patients with colorectal cancer operated on between 1967 and 1974, the authors determined the influence on prognosis of lymphocytic infiltration and expression of collagen type IV in tumor stroma. Also, age, sex, Dukes' classification, grade of tumor differentiation, vasoinvasion, and the number of positive lymph nodes were analyzed. Follow-up was at least 15 years. Lymphocytic infiltration and collagen IV expression were scored as mild, moderate, or severe. Survival was analyzed by a Cox proportional-hazards model. The density of lymphocytic invasion showed no significant influence on survival. Collagen IV expression analyzed as a single variable was significantly (P = 0.038) related to better prognosis in colorectal cancer patients. By multi-variate analysis collagen IV expression showed a trend toward better prognosis that was not statistically significant (P = 0.12). Dukes' classification (P less than 0.001), the presence of vasoinvasion (P = 0.009), and lymph node status (P = 0.04) significantly influenced survival. In conclusion immunohistochemistry for collagen IV is an important additional staining technique with prognostic value. In addition, collagen IV immunostaining facilitates recognition of vascular invasion by highlighting the basement membrane of vessels.",411,True,non-urgent,0.1949821561574936,0.8050178289413452,0.8050178289413452
"In vitro drug sensitivity of cells from children with leukemia using the MTT assay with improved culture conditions. The knowledge about drug resistance in childhood leukemias and acute lymphoblastic leukemia (ALL) in general is limited. This is because of the lack of a suitable in vitro drug sensitivity assay, which is in part due to low in vitro ALL cell survival. We recently adapted the highly efficient 3-[4,5-dimethylthiazol-2-yl]-2,5-diphenyl tetrazolium bromide (MTT) assay to test cells from ALL patients and showed that its results were comparable with those of the DiSC assay, up to now the most valid but laborious assay. In this study, in vitro drug sensitivity was assessed in cells from 82 children with leukemia, 79 of whom had ALL, with the MTT assay. Dose response curves were obtained for 6-mercaptopurine, 6-thioguanine (6-TG), prednisolone (Pred), daunorubicin (DNR), vincristine (VCR), cytosine arabinoside (Ara-C), L-asparaginase (L-Asp), mafosfamide, and mustine. A cytotoxic effect of methotrexate could be detected in only a few cases. Large interindividual differences in drug sensitivity were detected. Compared with leukemia cells from newly diagnosed patients, leukemia cells from relapsed patients were significantly more in vitro resistant to 6-TG, Pred, Ara-C, mafosfamide and mustine but not to DNR, VCR, and L-Asp. Improvements of culture medium and methods to increase MTT reduction were studied. From 10 components tested, addition of insulin and bovine serum albumin to serum-containing medium improved ALL cell survival. Addition of succinate did not increase the amount of MTT reduction. We conclude that the in vitro MTT assay highly facilitates large-scale studies on drug resistance of ALL patients that can lead to rational improvements in existing treatment protocols.",499,True,non-urgent,0.3782503008842468,0.6217496991157532,0.6217496991157532
"Postarthroscopy analgesia with bupivacaine. A prospective, randomized, blinded evaluation. The analgesic effect of intraarticular bupivacaine injected at the conclusion of knee arthroscopy done under general anesthesia was investigated in a prospective, randomized, and blinded fashion. Pain scores, the use of analgesic medications, crutch use, weight-bearing, activity level, and difficulty sleeping the night after surgery were all unaffected by the use of bupivacaine. The apparent lack of effect is most likely due to rapid clearance from the knee, leaving only a transient, 1 to 2 hours of potential benefit. In this study, the patients were already quite comfortable during this time period due to the routine use of intraoperative narcotics. The preoperative level of knee discomfort was found to be a major determinant of postoperative discomfort. Other much less important factors were synovial and chondral shaving, sex of the patient, and experience of the surgeon.",225,False,non-urgent,0.17083024978637695,0.8291696906089783,0.8291696906089783
"Indirect revascularization of the lower extremity by means of microvascular free-muscle flap--a preliminary report. We describe the treatment of a patient with end-stage peripheral vascular disease and ischemic ulceration of the lower extremity in whom an obliteration of the distal arterial bed precluded conventional arterial reconstruction. A nonhealing dorsal foot ulcer was debrided, and soft tissue reconstruction was accomplished by the free microsurgical transfer of a muscle flap to the distal lower extremity. Arterial inflow to this free flap was provided by a contralateral reversed saphenous vein graft from the proximal arterial tree of the leg. This procedure resulted in a healed wound, stable coverage, and limb salvage. The patient also noted complete relief of rest pain and improvement in his claudication symptoms. A follow-up arteriogram was done 2 months after surgery. Contrast injection directly into the artery of this flap showed new blood vessel growth from the muscle flap into the foot with anastomoses of these ""new vessels"" to the patient's native circulation. This experience suggests that limb salvage may be possible by the free microvascular transplantation of a muscle flap onto the limb in selected patients whose limbs are deemed ""nonreconstructible."".",285,True,non-urgent,0.47688812017440796,0.523111879825592,0.523111879825592
"Visceral protothecosis mimicking sclerosing cholangitis in an immunocompetent host: successful antifungal therapy. A healthy 39-year-old man who had clinical findings consistent with sclerosing cholangitis was found to have systemic protothecosis at surgery. Severe granulomatous inflammation and palpable nodules were found in the gallbladder, on the surface of the liver, and in the duodenum. Prototheca wickerhamii was detected in biopsied specimens and stool; the titer of indirect fluorescent antibody to this organism was 1:2,000. The patient recovered after a short course of treatment with amphotericin B and 3 months of oral therapy with ketoconazole. He had no other concurrent illness and had no abnormality in his immune system. This is the second reported human case of systemic protothecosis. An elevated IgG level, an elevated erythrocyte sedimentation rate, eosinophilia, and abnormal levels of enzymes in the liver were found in both cases. Protothecosis should be considered in the differential diagnosis of hepatic and biliary inflammatory diseases of uncertain etiology.",269,True,urgent,0.6622713208198547,0.33772870898246765,0.6622713208198547
"Evolution of energy expenditure and nitrogen excretion in severe head-injured patients. OBJECTIVE: The aim of the study was to estimate the influence of therapeutic changes on the level of energy expenditure (EE) and N excretion in a homogeneous group of patients usually considered hypermetabolic. DESIGN: EE and N excretion of head-injured patients were measured simultaneously at phases 1 and 2 (patients treated 4 +/- 3 and 18 +/- 8 days after injury, respectively). SETTING: Acute care hospital. PATIENTS: Eight severe head-injured patients, mean weight 63.1 +/- 6.1 (SD) kg, mean age 21 +/- 3.8 (SD) yr. INTERVENTIONS: At phase 1, all patients were sedated with fentanyl (6.7 +/- 1.9 micrograms/kg.hr) plus flunitrazepam (9.1 +/- 4.8 micrograms/kg.hr) and were mechanically ventilated. All patients received continuous total parenteral nutrition. The nonprotein caloric intake averaged 1092 +/- 200 kcal/day, including 77% glucose and 23% fat (Intralipid 20%). The total N intake averaged 7 +/- 5 g/day, consisting of crystalline amino acids. At phase 2, no patient received any sedative and all were breathing spontaneously via tracheostomy. All patients received parenteral and/or enteral nutrition. The nonprotein caloric intake averaged 1929 +/- 200 kcal/day consisting of 65% carbohydrates and 35% fat. The total N intake averaged 13 +/- 2 g/day. MEASUREMENTS AND MAIN RESULTS: The EE was significantly higher at phase 2 than at phase 1 (2121 vs. 1737 kcal), but the interindividual variability was low at both phases. N excretion was high at the two periods of the study and not correlated to the level of EE. The RQ was 0.75 at both periods, indicating predominant fat oxidation. CONCLUSIONS: We could not demonstrate any parallelism in the evolution of EE and protein catabolism in head-injured patients. The therapeutics (mechanical ventilation, sedation, and nutrition) have a major effect on EE but little on N excretion.",544,True,urgent,0.6358222961425781,0.3641776740550995,0.6358222961425781
Warning: fatal reaction to the use of fibrin glue in deep hepatic wounds. Case reports. Two cases of severe hypotension following the use of fibrin glue for hemostasis in hepatic injuries are reported. A systemic reaction to bovine thrombin via large venous lacerations is suspected. A preliminary animal study supports this hypothesis. Caution is advised in the use of fibrin glue for hemostasis in deep hepatic wounds.,107,False,urgent,0.8448207378387451,0.1551792025566101,0.8448207378387451
"Activation of erythropoietin receptors by Friend viral gp55 and by erythropoietin and down-modulation by the murine Fv-2r resistance gene. The leukemogenic membrane glycoprotein (gp55) encoded by Friend spleen focus-forming virus appears to bind to erythropoietin receptors (EpoR) sto stimulate erythroblastosis [Li, J.-P., D'Andrea, A.D., Lodish, H.F. & Baltimore, D. (1990) Nature (London) 343, 762-764]. To directly compare the effects of gp55 with erythropoietin (Epo), we produced retrovirions that encode either gp55, Epo, or EpoR. After infection with EpoR virus, interleukin 3-dependent DA-3 cells bound 125I-labeled Epo and grew without interleukin 3 in the presence of Epo. These latter cells, but not parental DA-3 cells, became factor-independent after superinfection either with Epo virus or with Friend spleen focus-forming virus. In addition, Epo virus caused a disease in mice that mimicked Friend erythroleukemia. Although Fv-2r homozygotes are susceptible to all other retroviral diseases, they are resistant to both Epo viral and Friend viral erythroleukemias. These results indicate that both gp55 and Epo stimulate EpoR and that the Fv-2 gene encodes a protein that controls response to these ligands. However, the Fv-2 protein is not EpoR because the corresponding genes map to opposite ends of mouse chromosome 9. These results have important implications for understanding signal transduction by EpoR and the role of host genetic variation in controlling susceptibility to an oncogenic protein.",432,True,non-urgent,0.20814844965934753,0.7918515801429749,0.7918515801429749
"Response to suxamethonium in a myasthenic patient during remission. A cumulative dose followed by an infusion was used to determine the dose response to suxamethonium in a patient with diagnosed myasthenia gravis who was in true remission (asymptomatic while receiving no therapy). The ED50 and ED90 values for suxamethonium were 0.08 mg/kg and 0.20 mg/kg, and an infusion rate of 3.2 mg/kg/hour was required to maintain a 90-95% depression of the single twitch response as monitored by integrated electromyography. These values are within the range for normal patients, and we conclude that myasthenic patients during a true remission may not demonstrate resistance to suxamethonium.",173,False,non-urgent,0.41362008452415466,0.5863799452781677,0.5863799452781677
"Serological evidence of infection with Helicobacter pylori may predict gastrointestinal intolerance to non-steroidal anti-inflammatory drug (NSAID) treatment in rheumatoid arthritis. Specific circulating antibodies to the spiral gastric organism, Helicobacter pylori (HP) were detectable in 43% of 68 patients with rheumatoid arthritis by complement fixation test (CFT) and enzyme-linked immunosorbent assay (ELISA), a frequency comparable with that of a normal, age-matched population. Presence of these antibodies correlated strongly with a previous history of peptic ulcer disease (PUD) and to the severity of NSAID-related dyspeptic symptoms, the latter often leading to multiple drug intolerance. This contrasts with short term, prospective NSAID toxicity data, which show little relationship between ulceration and HP carriage. This result suggests, however, that HP may have a definite role in the pathogenesis of symptomatic PUD associated with more chronic NSAID usage, and may have important implications for ulcer prophylaxis in these patients.",257,True,non-urgent,0.08400078862905502,0.915999174118042,0.915999174118042
